Date,0,1,2,3,4,5,6,7,K-Means
2017-09-06 00:00:00,-0.11459038,-0.33375052,0.3229583,0.038967285,0.103875995,0.51469576,0.060495306,-0.30114144,3
2017-10-24 16:00:00,0.20663421,-0.051476292,-0.1285675,-0.11069303,0.36501393,-0.568939,-0.24026059,0.19079268,7
2018-09-26 16:00:00,0.092468865,0.03745031,-0.35989583,-0.20175023,0.055679478,-0.46868256,-0.20044729,0.35591498,7
2017-07-10 12:00:00,0.01322831,0.3363468,-0.38610408,0.26334935,0.3467813,0.40551785,-0.58889616,-0.6239241,1
2018-03-15 12:00:00,0.15600224,0.049678292,-0.12133642,-0.26646927,0.41129842,-0.457778,-0.35308507,0.010515522,7
2017-07-17 04:00:00,-0.011697759,0.07275558,0.17488196,0.22781669,0.2867873,0.5439609,-0.04958626,-0.5879564,1
2018-08-10 08:00:00,0.13493474,-0.1096004,0.0039031398,0.092611216,-0.24896185,-0.4779591,0.3879953,0.43926573,5
2017-11-20 08:00:00,0.15502605,-0.05236278,0.02596669,-0.024943957,-0.40354106,-0.27538353,0.42858315,0.55295247,5
2017-11-24 04:00:00,0.09534204,0.2938593,0.088468336,0.3931721,-0.02374941,0.43529755,0.20646568,-0.4436972,3
2018-01-09 04:00:00,-0.014812305,0.001202822,0.29018372,0.3254126,-0.23310193,0.21771692,0.6041318,-0.17179392,3
2018-01-03 00:00:00,-0.072953604,-0.20005293,0.25472847,0.23834206,0.0025464606,0.50666684,0.29377997,-0.37362188,3
2018-08-14 00:00:00,0.06092203,-0.19033393,0.055329274,-0.337723,0.24442415,-0.25850514,-0.29380897,0.2208808,7
2017-09-05 16:00:00,-0.10438337,-0.09638898,0.42361706,0.08110962,0.12610386,0.50531715,0.14273119,-0.43507212,3
2017-11-24 20:00:00,-0.0987861,-0.055287704,0.4200137,0.06159214,-0.19452307,0.4669261,0.39305905,-0.19592988,3
2018-09-12 20:00:00,-0.1631609,-0.11357661,-0.20077667,0.42095143,-0.16221565,0.16437018,-0.0062420326,-0.26596287,4
2017-12-18 00:00:00,0.09274028,0.58536553,0.0026786502,0.0065396875,0.10666279,0.46852404,-0.23659652,-0.4875074,1
2018-01-08 12:00:00,-0.004151577,-0.025390115,-0.08326586,0.45553035,-0.06495604,0.19526269,0.116964966,-0.33596534,4
2018-02-28 08:00:00,0.24047044,0.35625932,0.3283696,-0.3769614,0.42789698,0.30186692,-0.18204613,-0.30429542,1
2017-09-14 08:00:00,0.17567162,0.33455223,-0.30495244,-0.36981702,0.44147205,0.15507323,-0.5857157,-0.25882393,6
2018-08-17 08:00:00,-0.01155852,0.104379,0.0026181967,-0.55088425,0.5053927,0.27782485,-0.42462188,-0.35567006,6
2017-09-21 12:00:00,0.36349204,0.3243115,-0.048612427,0.1187714,0.016309388,-0.4207054,-0.17547435,0.27985084,7
2018-10-17 16:00:00,-0.03802029,0.27392048,0.07804115,0.20040157,-0.046069715,0.4134937,0.115134515,-0.4525572,3
2017-06-30 12:00:00,-0.10426726,-0.111928865,0.3148489,0.32244474,-0.110639885,0.3426104,0.3954475,-0.32106715,3
2017-10-26 16:00:00,0.36236972,0.013527517,0.21589188,-0.070355296,0.15537183,-0.44209862,0.06622252,0.33582515,7
2018-09-19 20:00:00,-0.12932794,0.04369462,-0.32021698,0.33061612,-0.009023911,0.1664562,-0.15411715,-0.3078638,4
2018-09-07 12:00:00,0.1472871,0.17182647,-0.42742223,0.31045142,0.0041307374,-0.33507437,-0.09641178,0.06034341,0
2018-08-27 08:00:00,-0.1631569,-0.23487967,-0.48332065,-0.21250103,0.4011212,0.054890335,-0.6361405,-0.275526,6
2017-11-06 08:00:00,-0.016963206,0.0364328,0.052887447,0.3767693,0.052399717,0.41622016,0.03788174,-0.44333363,3
2017-12-19 20:00:00,0.10776407,-0.07058154,-0.12853484,-0.28348303,0.34909892,-0.18679813,-0.327841,0.012082512,6
2018-03-19 08:00:00,0.21221054,0.28645185,-0.023195792,-0.27237445,0.48393533,-0.4240966,-0.36502218,-0.13090427,6
2017-08-02 20:00:00,0.050310045,-0.35949793,0.25594497,-0.22791378,-0.2213673,-0.15155354,0.13387558,0.56976604,2
2018-01-15 08:00:00,0.013858398,-0.3931062,-0.4442266,0.36345646,-0.08663951,-0.40859607,0.11927232,0.28748724,0
2018-06-22 12:00:00,0.11414866,0.11438345,-0.347796,0.0019230631,-0.0035974043,-0.53228074,-0.16680188,0.3001427,7
2018-10-02 16:00:00,-0.010411407,0.16143928,0.2915658,0.3998913,-0.20306906,0.29990318,0.35959086,-0.2874432,3
2018-03-13 12:00:00,0.041768767,0.033010326,0.2796952,0.18539879,-0.28946388,0.41959563,0.40680465,0.02601537,3
2018-10-04 04:00:00,-0.028489333,-0.42409885,0.4542736,-0.121028274,0.07133134,0.3489036,0.33732322,-0.069796875,3
2017-11-16 08:00:00,0.2832851,0.15407106,-0.07636853,-0.019138582,-0.086202204,-0.547409,0.12400014,0.44813463,7
2018-01-22 08:00:00,0.20372576,0.24057318,-0.010540696,-0.21816924,-0.0124670025,-0.04610592,0.31736666,0.14047419,2
2018-03-30 04:00:00,0.03635248,-0.34824196,-0.31158957,-0.10438504,0.10651398,-0.14238471,-0.31659606,0.33700624,0
2018-06-19 16:00:00,0.32836288,0.14881524,-0.078652635,0.09966744,0.18695584,-0.60556483,-0.0629561,0.30550027,7
2018-04-23 20:00:00,0.29840153,0.22652523,0.13879995,-0.16736265,0.19184051,-0.4989138,-0.074443385,0.2592466,7
